StudentID,Name,AcademicInterest,ExtracurricularActivities,Skills,Location,YearOfStudy,Major,GPA,Languages,ClubMemberships,ResearchInterests
11,Student 11,Psychology,Sports Team,"Programming, Leadership, Artistic, Data Analysis",New York,Freshman,Psychology,3.02,"German, English, Spanish, French","Coding Club, Sports Team, Art Club",Social Sciences
12,Student 12,Mathematics,Coding Club,"Public Speaking, Programming, Problem Solving, Leadership",San Francisco,Freshman,Biology,3.96,German,"Sports Team, Debate Club",Quantum Computing
13,Student 13,Physics,Music Club,"Programming, Artistic, Problem Solving",New York,Junior,Mathematics,2.98,"English, Japanese, Chinese, Spanish, German, French","Debate Club, Volunteer Group, Music Club, Art Club, Sports Team",Machine Learning
14,Student 14,History,Sports Team,"Artistic, Problem Solving, Programming",Boston,Freshman,Biology,2.48,Japanese,"Art Club, Debate Club, Music Club",Cognitive Psychology
15,Student 15,History,Music Club,"Artistic, Problem Solving, Public Speaking, Data Analysis",Chicago,Senior,Computer Science,2.54,German,"Sports Team, Coding Club, Music Club, Debate Club, Volunteer Group",Biomedical Engineering
16,Student 16,Mathematics,Debate Club,"Artistic, Programming, Leadership",Chicago,Freshman,Computer Science,2.5,English,"Coding Club, Debate Club, Music Club, Sports Team, Art Club",Cognitive Psychology
17,Student 17,Computer Science,Music Club,"Data Analysis, Programming, Problem Solving, Public Speaking, Leadership, Artistic",New York,Junior,Physics,3.0,"Chinese, Japanese, English","Volunteer Group, Debate Club, Art Club, Music Club",Robotics
18,Student 18,Biology,Volunteer Group,"Data Analysis, Problem Solving, Public Speaking",Los Angeles,Sophomore,Computer Science,3.91,Japanese,"Volunteer Group, Sports Team, Art Club, Coding Club",Space Exploration
19,Student 19,Physics,Coding Club,"Programming, Artistic, Public Speaking, Data Analysis, Leadership, Problem Solving",New York,Freshman,Biology,2.44,"English, German","Debate Club, Sports Team, Art Club, Coding Club",Blockchain Technology
20,Student 20,Physics,Debate Club,"Public Speaking, Leadership, Artistic, Data Analysis, Problem Solving, Programming",Chicago,Sophomore,History,3.64,"Chinese, German, Spanish, English, French, Japanese",Debate Club,Machine Learning
21,Student 21,Physics,Coding Club,"Programming, Public Speaking, Data Analysis, Leadership, Problem Solving",Chicago,Freshman,Mathematics,2.36,"German, Chinese, French","Art Club, Volunteer Group, Debate Club",Environmental Sustainability
22,Student 22,Biology,Sports Team,"Problem Solving, Data Analysis, Leadership, Artistic",San Francisco,Junior,Psychology,3.8,"Spanish, English","Art Club, Music Club",Astrophysics
23,Student 23,Psychology,Volunteer Group,"Artistic, Leadership, Data Analysis, Problem Solving, Public Speaking",Los Angeles,Graduate,Mathematics,3.81,"Chinese, English, German, French, Japanese, Spanish","Coding Club, Art Club",Educational Technology
24,Student 24,Computer Science,Music Club,"Public Speaking, Data Analysis, Artistic",Houston,Sophomore,Physics,3.12,"Chinese, English, Japanese, French, Spanish","Debate Club, Art Club, Coding Club, Music Club",Climate Change
25,Student 25,Physics,Coding Club,"Data Analysis, Problem Solving, Artistic, Public Speaking, Leadership, Programming",Boston,Junior,Physics,2.79,"English, Spanish, Japanese, French, Chinese, German","Debate Club, Sports Team, Music Club, Coding Club, Art Club",Environmental Sustainability
26,Student 26,Physics,Debate Club,"Artistic, Problem Solving, Leadership, Programming, Data Analysis, Public Speaking",San Francisco,Junior,Physics,2.77,"Japanese, Chinese, Spanish","Sports Team, Art Club, Music Club, Debate Club",Data Science
27,Student 27,Computer Science,Sports Team,"Problem Solving, Artistic, Data Analysis, Programming, Leadership, Public Speaking",Boston,Senior,History,3.42,English,"Sports Team, Volunteer Group, Debate Club, Art Club, Coding Club, Music Club",Quantum Computing
28,Student 28,History,Volunteer Group,"Programming, Data Analysis",Chicago,Graduate,Biology,3.27,Spanish,Sports Team,Machine Learning
29,Student 29,Biology,Art Club,"Data Analysis, Leadership",Los Angeles,Junior,Psychology,2.91,Chinese,Music Club,Data Science
30,Student 30,Physics,Music Club,"Data Analysis, Public Speaking",Los Angeles,Senior,History,2.96,"Chinese, Japanese, French, English, Spanish","Debate Club, Art Club, Music Club, Coding Club, Volunteer Group",Artificial Intelligence
31,Student 31,Mathematics,Debate Club,"Artistic, Programming, Public Speaking, Problem Solving, Data Analysis",San Francisco,Sophomore,Biology,2.26,"English, Chinese, Spanish","Art Club, Sports Team, Volunteer Group, Coding Club, Music Club, Debate Club",Renewable Energy
32,Student 32,Mathematics,Volunteer Group,"Problem Solving, Programming, Leadership, Data Analysis, Public Speaking, Artistic",Boston,Graduate,Computer Science,3.01,"Chinese, French, Spanish","Debate Club, Coding Club, Art Club, Music Club",Data Science
33,Student 33,Biology,Debate Club,"Public Speaking, Programming",Chicago,Senior,Computer Science,2.83,"German, Japanese, Chinese, French","Coding Club, Sports Team, Art Club, Music Club",Nanotechnology
34,Student 34,Psychology,Volunteer Group,"Data Analysis, Programming, Public Speaking",New York,Sophomore,History,2.19,"English, German","Debate Club, Volunteer Group, Sports Team, Coding Club, Art Club, Music Club",Human-Computer Interaction
35,Student 35,Biology,Art Club,Data Analysis,Boston,Junior,Physics,3.1,"German, English, Spanish, French, Chinese, Japanese",Volunteer Group,Behavioral Economics
36,Student 36,Mathematics,Music Club,"Leadership, Programming, Problem Solving",Boston,Senior,Psychology,3.12,"Spanish, German, Japanese, English, French","Art Club, Debate Club",Quantum Computing
37,Student 37,History,Sports Team,"Data Analysis, Public Speaking, Programming, Artistic, Problem Solving",New York,Sophomore,History,3.46,"German, Chinese, English, French",Art Club,Healthcare Management
38,Student 38,Physics,Volunteer Group,"Artistic, Public Speaking, Data Analysis, Leadership, Programming, Problem Solving",Houston,Sophomore,Computer Science,3.67,German,"Coding Club, Music Club, Volunteer Group, Sports Team, Art Club, Debate Club",Robotics
39,Student 39,Computer Science,Sports Team,"Programming, Public Speaking, Data Analysis, Problem Solving",Los Angeles,Freshman,Mathematics,3.24,German,"Debate Club, Art Club",Quantum Computing
40,Student 40,Computer Science,Coding Club,"Data Analysis, Leadership, Programming",Boston,Senior,Mathematics,2.51,"English, Spanish","Coding Club, Music Club",Machine Learning
41,Student 41,Computer Science,Music Club,"Programming, Artistic, Public Speaking, Leadership",Boston,Senior,Psychology,2.42,"English, Chinese, Spanish, French, Japanese, German","Coding Club, Music Club, Art Club, Volunteer Group, Sports Team, Debate Club",Quantum Computing
42,Student 42,Physics,Art Club,"Data Analysis, Leadership, Programming, Public Speaking, Problem Solving",Houston,Freshman,Mathematics,2.65,German,"Music Club, Debate Club, Volunteer Group",Behavioral Economics
43,Student 43,History,Sports Team,"Problem Solving, Data Analysis, Public Speaking, Programming, Artistic, Leadership",Houston,Sophomore,Mathematics,3.77,"Chinese, Spanish, English","Art Club, Debate Club, Volunteer Group, Sports Team",Astrophysics
44,Student 44,Computer Science,Volunteer Group,"Data Analysis, Artistic, Leadership, Programming, Problem Solving",Los Angeles,Freshman,Psychology,2.72,"Spanish, Chinese, Japanese","Coding Club, Sports Team",Educational Technology
45,Student 45,Biology,Sports Team,Problem Solving,Houston,Freshman,History,3.68,"French, English",Coding Club,Climate Change
46,Student 46,Computer Science,Sports Team,Artistic,Boston,Junior,Mathematics,3.12,German,Art Club,Urban Planning
47,Student 47,Biology,Sports Team,"Artistic, Data Analysis, Programming, Problem Solving, Leadership",Los Angeles,Sophomore,Biology,2.9,"German, English",Sports Team,Nanotechnology
48,Student 48,Physics,Music Club,"Artistic, Programming, Problem Solving",San Francisco,Sophomore,History,2.11,"German, Japanese","Sports Team, Art Club",Political Science
49,Student 49,History,Music Club,"Leadership, Public Speaking, Programming, Data Analysis, Artistic, Problem Solving",Boston,Freshman,Psychology,3.99,"English, German, Chinese, Spanish, Japanese",Music Club,Space Exploration
50,Student 50,Psychology,Sports Team,"Leadership, Public Speaking",Chicago,Senior,History,2.64,"Spanish, French, Japanese, German","Art Club, Coding Club, Volunteer Group, Music Club, Sports Team",Social Sciences
51,Student 51,Computer Science,Debate Club,"Data Analysis, Artistic, Leadership, Public Speaking, Problem Solving, Programming",Chicago,Senior,Computer Science,2.17,"Spanish, English, French, Japanese, German, Chinese","Music Club, Debate Club, Sports Team, Volunteer Group",Human-Computer Interaction
52,Student 52,History,Sports Team,Public Speaking,Chicago,Graduate,Mathematics,2.11,"French, English, Chinese, Japanese, German, Spanish","Sports Team, Music Club, Volunteer Group, Debate Club, Coding Club",Cybersecurity
53,Student 53,Biology,Sports Team,"Public Speaking, Leadership, Programming, Data Analysis",New York,Senior,Mathematics,2.26,"Japanese, Chinese","Volunteer Group, Sports Team, Coding Club",Astrophysics
54,Student 54,Computer Science,Sports Team,"Programming, Public Speaking",Los Angeles,Senior,Biology,2.13,"French, Japanese, German","Coding Club, Sports Team, Volunteer Group",Educational Technology
55,Student 55,History,Music Club,"Artistic, Problem Solving, Leadership, Programming, Data Analysis, Public Speaking",Chicago,Senior,Computer Science,3.75,"English, German, Spanish, Japanese","Music Club, Debate Club, Volunteer Group",Bioinformatics
56,Student 56,History,Music Club,"Leadership, Programming, Artistic, Public Speaking",Chicago,Graduate,Mathematics,3.55,"French, German","Art Club, Debate Club, Sports Team, Music Club, Volunteer Group",Human-Computer Interaction
57,Student 57,Biology,Sports Team,"Problem Solving, Artistic, Programming, Leadership, Public Speaking",Los Angeles,Junior,Mathematics,2.44,"English, Japanese, Spanish","Sports Team, Music Club, Volunteer Group, Debate Club, Art Club, Coding Club",Nanotechnology
58,Student 58,Psychology,Volunteer Group,"Artistic, Leadership",Los Angeles,Senior,History,3.23,"Japanese, Spanish, English, French","Debate Club, Art Club, Coding Club, Volunteer Group, Music Club",Space Exploration
59,Student 59,Physics,Art Club,"Problem Solving, Leadership, Artistic, Programming, Public Speaking, Data Analysis",Houston,Senior,Psychology,3.74,"German, Chinese, English",Art Club,Natural Language Processing
60,Student 60,Psychology,Sports Team,"Leadership, Public Speaking, Programming",Chicago,Junior,Biology,2.42,Japanese,"Music Club, Volunteer Group, Coding Club, Art Club",Social Sciences
61,Student 61,Computer Science,Sports Team,Data Analysis,Houston,Freshman,Physics,3.62,"French, Chinese, German, English",Coding Club,Machine Learning
62,Student 62,Biology,Volunteer Group,"Public Speaking, Programming, Leadership, Problem Solving, Artistic, Data Analysis",Houston,Junior,History,2.83,Spanish,"Debate Club, Coding Club, Art Club, Volunteer Group, Sports Team",Blockchain Technology
63,Student 63,History,Sports Team,"Leadership, Artistic, Data Analysis",New York,Junior,Physics,3.63,"Spanish, German, Chinese, Japanese","Sports Team, Debate Club, Volunteer Group, Music Club, Coding Club",Robotics
64,Student 64,Computer Science,Debate Club,"Data Analysis, Artistic, Leadership, Programming, Problem Solving, Public Speaking",Chicago,Graduate,Computer Science,3.14,"Japanese, French, German, Chinese, English, Spanish","Art Club, Coding Club",Cognitive Psychology
65,Student 65,Computer Science,Music Club,Programming,New York,Senior,Psychology,3.82,"Chinese, Japanese, German, English","Music Club, Volunteer Group, Sports Team, Art Club, Debate Club, Coding Club",Educational Technology
66,Student 66,History,Debate Club,"Artistic, Problem Solving, Public Speaking, Programming",New York,Sophomore,Psychology,2.91,"Chinese, German","Volunteer Group, Music Club, Art Club, Sports Team, Debate Club, Coding Club",Political Science
67,Student 67,Psychology,Coding Club,"Programming, Data Analysis",New York,Sophomore,Biology,2.34,"Spanish, English, French, Chinese, German, Japanese","Music Club, Art Club",Machine Learning
68,Student 68,History,Art Club,Programming,Los Angeles,Graduate,Psychology,3.43,"German, Spanish, French, Japanese, English","Music Club, Sports Team",Behavioral Economics
69,Student 69,Mathematics,Coding Club,"Problem Solving, Leadership, Public Speaking",Chicago,Freshman,Physics,2.53,"Spanish, German, English",Art Club,Bioinformatics
70,Student 70,Psychology,Music Club,"Programming, Public Speaking, Leadership, Data Analysis, Problem Solving",Chicago,Freshman,History,3.31,"German, French, English, Japanese, Spanish, Chinese","Debate Club, Music Club, Coding Club, Art Club, Sports Team",Space Exploration
71,Student 71,Computer Science,Volunteer Group,"Data Analysis, Programming, Problem Solving, Leadership, Public Speaking",Chicago,Sophomore,Biology,2.71,"Chinese, Japanese, French, English, Spanish, German","Music Club, Debate Club, Art Club",Machine Learning
72,Student 72,Physics,Volunteer Group,Programming,Chicago,Sophomore,Biology,3.56,English,"Sports Team, Debate Club, Volunteer Group",Behavioral Economics
73,Student 73,Computer Science,Coding Club,"Leadership, Data Analysis, Problem Solving, Programming, Public Speaking",Boston,Graduate,Physics,2.42,"Japanese, French",Volunteer Group,Urban Planning
74,Student 74,Biology,Volunteer Group,Artistic,Houston,Freshman,Computer Science,3.68,"French, German, Japanese","Volunteer Group, Music Club, Sports Team, Art Club, Coding Club, Debate Club",Biomedical Engineering
75,Student 75,History,Music Club,"Data Analysis, Problem Solving, Artistic, Programming, Leadership",New York,Senior,Psychology,2.88,"French, Japanese","Debate Club, Volunteer Group, Coding Club, Music Club, Sports Team, Art Club",Machine Learning
76,Student 76,Biology,Debate Club,"Artistic, Programming, Leadership, Data Analysis, Public Speaking, Problem Solving",Los Angeles,Senior,History,3.9,Chinese,Art Club,Artificial Intelligence
77,Student 77,Mathematics,Debate Club,"Problem Solving, Programming, Artistic",San Francisco,Senior,Physics,2.65,"Spanish, German, French, Japanese, English, Chinese","Debate Club, Music Club, Sports Team",Cognitive Psychology
78,Student 78,Computer Science,Debate Club,"Leadership, Public Speaking, Data Analysis",Houston,Junior,Mathematics,3.62,"French, English, Spanish, Chinese, German, Japanese","Art Club, Coding Club, Music Club, Volunteer Group, Sports Team, Debate Club",Quantum Computing
79,Student 79,Psychology,Volunteer Group,"Artistic, Public Speaking, Data Analysis, Programming, Leadership, Problem Solving",Houston,Junior,Mathematics,3.16,"German, Chinese","Sports Team, Music Club, Coding Club",Educational Technology
80,Student 80,Mathematics,Sports Team,Programming,Chicago,Senior,Psychology,2.88,"French, English, Spanish, German","Debate Club, Volunteer Group, Coding Club, Art Club",Quantum Computing
81,Student 81,Biology,Volunteer Group,"Data Analysis, Programming, Problem Solving",Los Angeles,Junior,History,2.94,"French, Chinese, English, Japanese","Debate Club, Sports Team, Volunteer Group, Music Club",Educational Technology
82,Student 82,Psychology,Art Club,"Programming, Data Analysis, Problem Solving, Artistic",San Francisco,Senior,Mathematics,3.15,"German, French, Spanish, Chinese","Coding Club, Sports Team, Debate Club, Volunteer Group, Music Club, Art Club",Robotics
83,Student 83,Physics,Art Club,"Artistic, Leadership, Data Analysis",Los Angeles,Senior,Computer Science,2.69,"Spanish, Japanese, French","Sports Team, Debate Club, Volunteer Group, Coding Club",Artificial Intelligence
84,Student 84,Biology,Debate Club,"Leadership, Problem Solving, Programming, Public Speaking",San Francisco,Freshman,Physics,2.25,English,"Sports Team, Art Club, Volunteer Group, Music Club, Coding Club",Artificial Intelligence
85,Student 85,Psychology,Coding Club,"Artistic, Programming, Leadership, Public Speaking",Houston,Senior,Biology,2.14,"Japanese, Chinese","Volunteer Group, Music Club, Coding Club, Debate Club",Urban Planning
86,Student 86,History,Debate Club,"Artistic, Data Analysis, Public Speaking",Boston,Junior,History,3.69,"French, English, Chinese, German","Debate Club, Volunteer Group, Music Club",Artificial Intelligence
87,Student 87,Psychology,Art Club,"Data Analysis, Leadership, Programming, Problem Solving, Public Speaking, Artistic",Boston,Junior,Mathematics,2.11,"German, Chinese, Spanish","Sports Team, Art Club, Debate Club, Volunteer Group",Social Sciences
88,Student 88,Biology,Art Club,"Programming, Data Analysis",New York,Graduate,Computer Science,3.0,"German, Japanese, French, Spanish, English","Coding Club, Art Club, Sports Team",Human-Computer Interaction
89,Student 89,History,Art Club,"Artistic, Data Analysis",Chicago,Freshman,Mathematics,2.58,"English, French, Chinese","Music Club, Volunteer Group, Debate Club, Sports Team",Data Science
90,Student 90,Physics,Music Club,"Programming, Leadership, Public Speaking, Artistic, Problem Solving, Data Analysis",Los Angeles,Senior,Psychology,3.73,"French, Japanese, English, German, Spanish, Chinese","Sports Team, Coding Club",Sustainable Agriculture
91,Student 91,Psychology,Volunteer Group,"Artistic, Leadership, Programming, Problem Solving",Los Angeles,Senior,Computer Science,3.27,"Spanish, German, Chinese, English, Japanese",Coding Club,Blockchain Technology
92,Student 92,Biology,Music Club,"Problem Solving, Leadership, Artistic, Public Speaking, Data Analysis",Boston,Senior,Physics,3.71,German,"Coding Club, Sports Team, Art Club, Volunteer Group, Music Club",Bioinformatics
93,Student 93,Physics,Art Club,Data Analysis,Boston,Senior,Mathematics,2.03,"French, Chinese","Art Club, Music Club, Debate Club, Coding Club, Sports Team, Volunteer Group",Sustainable Agriculture
94,Student 94,History,Sports Team,Leadership,San Francisco,Sophomore,Computer Science,2.15,"English, Chinese, German, Japanese, French, Spanish",Sports Team,Bioinformatics
95,Student 95,Psychology,Volunteer Group,"Programming, Leadership, Problem Solving, Data Analysis",New York,Senior,Physics,3.04,"German, French, Chinese, Japanese, English",Art Club,Biomedical Engineering
96,Student 96,Computer Science,Art Club,Data Analysis,Chicago,Sophomore,History,2.8,"English, Japanese, Chinese","Debate Club, Volunteer Group, Sports Team, Coding Club",Climate Change
97,Student 97,History,Music Club,"Artistic, Data Analysis",San Francisco,Junior,Biology,2.66,"English, French, Japanese, German, Chinese","Art Club, Volunteer Group, Sports Team, Debate Club",Renewable Energy
98,Student 98,Mathematics,Coding Club,Data Analysis,San Francisco,Senior,Biology,2.25,"Chinese, Spanish",Volunteer Group,Quantum Computing
99,Student 99,History,Debate Club,"Leadership, Programming, Data Analysis, Public Speaking, Artistic, Problem Solving",Chicago,Senior,History,2.94,"Chinese, Spanish, German",Music Club,Renewable Energy
100,Student 100,Physics,Music Club,"Public Speaking, Leadership, Artistic, Programming, Problem Solving",San Francisco,Senior,Psychology,2.67,"Spanish, French, Chinese","Art Club, Volunteer Group, Sports Team, Music Club, Debate Club, Coding Club",Biomedical Engineering
101,Student 101,Biology,Coding Club,"Data Analysis, Problem Solving, Artistic, Programming, Public Speaking",New York,Sophomore,Biology,3.98,"English, Chinese, French","Sports Team, Art Club, Debate Club, Music Club",Sustainable Agriculture
102,Student 102,Physics,Music Club,"Leadership, Programming, Data Analysis, Public Speaking",San Francisco,Sophomore,Biology,3.52,"German, French, Japanese","Sports Team, Debate Club, Coding Club",Social Sciences
103,Student 103,Biology,Debate Club,"Public Speaking, Problem Solving, Programming, Data Analysis",New York,Senior,History,3.68,"German, Japanese, English, Chinese, French, Spanish","Sports Team, Debate Club, Volunteer Group",Renewable Energy
104,Student 104,Psychology,Debate Club,"Leadership, Programming, Data Analysis, Problem Solving, Public Speaking",Los Angeles,Junior,Mathematics,3.57,"French, Japanese, Spanish, German, English, Chinese","Art Club, Debate Club",Nanotechnology
105,Student 105,History,Coding Club,"Leadership, Artistic, Programming, Data Analysis",San Francisco,Sophomore,Biology,3.87,"Japanese, English, Spanish, Chinese, French, German","Sports Team, Music Club",Educational Technology
106,Student 106,Biology,Volunteer Group,"Data Analysis, Programming, Public Speaking, Artistic, Problem Solving, Leadership",Chicago,Sophomore,Psychology,2.17,"English, German, Chinese","Art Club, Debate Club, Coding Club, Music Club, Volunteer Group",Robotics
107,Student 107,Computer Science,Coding Club,"Leadership, Artistic, Problem Solving, Public Speaking",Houston,Sophomore,Biology,2.64,"French, Spanish, Chinese, German","Volunteer Group, Art Club, Coding Club, Sports Team, Debate Club",Climate Change
108,Student 108,Computer Science,Music Club,"Programming, Data Analysis, Public Speaking, Problem Solving, Artistic",New York,Junior,Psychology,3.69,"Spanish, English, French, Chinese","Volunteer Group, Art Club, Music Club, Sports Team, Coding Club, Debate Club",Environmental Sustainability
109,Student 109,Mathematics,Volunteer Group,"Data Analysis, Public Speaking, Problem Solving, Artistic",New York,Graduate,Physics,3.78,"Japanese, German, French, English, Chinese","Art Club, Coding Club, Volunteer Group, Music Club",Quantum Computing
110,Student 110,Psychology,Debate Club,"Programming, Leadership",San Francisco,Freshman,Physics,2.97,"Spanish, English, Chinese","Music Club, Sports Team",Human-Computer Interaction
111,Student 111,Psychology,Music Club,"Public Speaking, Artistic, Leadership",Los Angeles,Senior,Computer Science,3.64,"Spanish, German, Japanese","Debate Club, Music Club, Art Club",Educational Technology
112,Student 112,Physics,Debate Club,Artistic,Los Angeles,Junior,Physics,2.98,Japanese,"Sports Team, Debate Club, Volunteer Group, Art Club, Coding Club, Music Club",Cybersecurity
113,Student 113,Psychology,Volunteer Group,"Data Analysis, Programming",Boston,Sophomore,History,3.56,Spanish,Coding Club,Urban Planning
114,Student 114,Biology,Debate Club,"Programming, Artistic, Data Analysis",Chicago,Sophomore,Mathematics,3.69,"Spanish, Chinese, English","Art Club, Debate Club, Coding Club, Music Club",Environmental Sustainability
115,Student 115,Biology,Coding Club,Problem Solving,New York,Freshman,Mathematics,2.69,"German, Japanese",Volunteer Group,Political Science
116,Student 116,Mathematics,Coding Club,"Programming, Problem Solving, Data Analysis, Leadership, Public Speaking",Boston,Sophomore,History,2.57,"English, Spanish","Art Club, Volunteer Group, Coding Club",Healthcare Management
117,Student 117,Psychology,Sports Team,"Data Analysis, Leadership, Artistic, Problem Solving, Programming, Public Speaking",Boston,Freshman,Physics,2.31,"German, English, Japanese, Spanish, French, Chinese",Volunteer Group,Space Exploration
118,Student 118,Computer Science,Volunteer Group,"Public Speaking, Problem Solving, Leadership",San Francisco,Sophomore,Biology,2.43,"Chinese, Spanish, Japanese","Coding Club, Debate Club",Renewable Energy
119,Student 119,Mathematics,Sports Team,Artistic,San Francisco,Junior,Computer Science,2.34,"Japanese, Spanish, Chinese, English","Debate Club, Coding Club, Art Club, Volunteer Group, Sports Team, Music Club",Educational Technology
120,Student 120,Computer Science,Volunteer Group,"Problem Solving, Programming, Public Speaking, Artistic",New York,Junior,Mathematics,2.75,"German, English, Japanese","Volunteer Group, Sports Team, Coding Club, Art Club, Music Club, Debate Club",Climate Change
121,Student 121,Mathematics,Art Club,"Data Analysis, Programming, Public Speaking, Leadership, Problem Solving, Artistic",Chicago,Senior,History,2.37,"Chinese, English, German, Japanese, Spanish","Debate Club, Sports Team, Music Club, Volunteer Group, Coding Club",Climate Change
122,Student 122,Physics,Debate Club,"Programming, Leadership",Boston,Senior,Physics,2.12,"Spanish, English, German","Debate Club, Sports Team, Music Club, Art Club, Coding Club, Volunteer Group",Biomedical Engineering
123,Student 123,History,Debate Club,"Public Speaking, Programming",Chicago,Graduate,Computer Science,2.17,"English, Spanish, Chinese, French, German, Japanese","Art Club, Debate Club",Astrophysics
124,Student 124,History,Debate Club,"Public Speaking, Data Analysis, Leadership, Problem Solving",Los Angeles,Junior,Biology,3.56,"Chinese, German","Music Club, Debate Club, Sports Team, Art Club, Volunteer Group",Sustainable Agriculture
125,Student 125,History,Music Club,"Public Speaking, Programming, Artistic, Data Analysis, Problem Solving",San Francisco,Senior,Computer Science,2.47,"Japanese, French","Debate Club, Music Club, Art Club, Coding Club, Volunteer Group",Data Science
126,Student 126,History,Volunteer Group,"Artistic, Problem Solving",Houston,Sophomore,Biology,3.5,"German, English, Spanish, French, Chinese","Debate Club, Volunteer Group",Robotics
127,Student 127,Biology,Volunteer Group,"Artistic, Leadership",Los Angeles,Junior,Biology,3.79,"Spanish, French, Japanese, German","Art Club, Music Club, Debate Club",Blockchain Technology
128,Student 128,Physics,Debate Club,"Programming, Problem Solving",Boston,Sophomore,History,3.02,"German, Spanish, English, Japanese","Coding Club, Art Club, Music Club, Debate Club, Volunteer Group",Nanotechnology
129,Student 129,Biology,Debate Club,Public Speaking,Houston,Freshman,Computer Science,3.75,"French, Chinese, Spanish","Coding Club, Sports Team, Debate Club, Music Club",Human-Computer Interaction
130,Student 130,Biology,Art Club,"Problem Solving, Artistic, Public Speaking, Data Analysis, Leadership, Programming",San Francisco,Senior,Physics,3.53,"German, English, French",Volunteer Group,Space Exploration
131,Student 131,Biology,Music Club,"Public Speaking, Programming, Problem Solving, Artistic",Houston,Sophomore,Psychology,2.66,"French, Spanish","Volunteer Group, Sports Team, Debate Club, Music Club, Coding Club",Data Science
132,Student 132,Psychology,Sports Team,"Data Analysis, Artistic",San Francisco,Sophomore,Computer Science,2.22,Chinese,"Volunteer Group, Art Club, Debate Club, Music Club, Sports Team, Coding Club",Nanotechnology
133,Student 133,History,Debate Club,"Leadership, Problem Solving, Artistic, Public Speaking",Chicago,Senior,History,2.38,"Chinese, Spanish, German, English, Japanese",Volunteer Group,Educational Technology
134,Student 134,Mathematics,Volunteer Group,"Public Speaking, Problem Solving, Artistic, Programming",Los Angeles,Freshman,Mathematics,3.13,"Spanish, Chinese, French, English, Japanese","Music Club, Art Club, Volunteer Group, Debate Club, Coding Club, Sports Team",Social Sciences
135,Student 135,Psychology,Music Club,"Problem Solving, Leadership, Artistic, Data Analysis, Public Speaking, Programming",Houston,Graduate,Physics,3.35,"French, German, Spanish, Japanese, English, Chinese","Music Club, Volunteer Group, Debate Club, Sports Team",Nanotechnology
136,Student 136,Biology,Debate Club,"Public Speaking, Artistic, Leadership",San Francisco,Sophomore,Physics,2.33,"Japanese, Chinese, French, English","Art Club, Music Club",Data Science
137,Student 137,Biology,Volunteer Group,Data Analysis,New York,Freshman,Computer Science,2.99,"German, English, Japanese, Spanish, Chinese","Art Club, Sports Team",Educational Technology
138,Student 138,Biology,Sports Team,"Leadership, Problem Solving",Houston,Freshman,Biology,2.51,"English, French, German, Chinese, Spanish","Debate Club, Sports Team, Coding Club, Art Club, Music Club",Nanotechnology
139,Student 139,History,Volunteer Group,"Leadership, Public Speaking, Data Analysis, Problem Solving, Programming, Artistic",Los Angeles,Freshman,Computer Science,3.04,Chinese,"Debate Club, Music Club, Volunteer Group, Sports Team",Robotics
